country_code,country_name,region
IN,India,Asia
US,United States,North America
GB,United Kingdom,Europe
CA,Canada,North America
AU,Australia,Oceania
DE,Germany,Europe
FR,France,Europe
JP,Japan,Asia
CN,China,Asia
SG,Singapore,Asia
AE,United Arab Emirates,Asia
SA,Saudi Arabia,Asia
BR,Brazil,South America
MX,Mexico,North America
ZA,South Africa,Africa
NZ,New Zealand,Oceania
IT,Italy,Europe
ES,Spain,Europe
KR,South Korea,Asia
TH,Thailand,Asia
MY,Malaysia,Asia
ID,Indonesia,Asia
VN,Vietnam,Asia
NL,Netherlands,Europe
CH,Switzerland,Europe
